Date,Open,High,Low,Close,Adj Close,Volume
2017-06-27,70.110001,70.180000,69.180000,69.209999,68.843208,25215100
2017-06-28,69.209999,69.839996,68.790001,69.800003,69.430092,25806200
2017-06-29,69.379997,69.489998,68.089996,68.489998,68.127029,28918700
2017-06-30,68.779999,69.379997,68.739998,68.930000,68.564697,23963300
2017-07-03,69.330002,69.599998,68.019997,68.169998,67.808723,16165500
2017-07-05,68.260002,69.440002,68.220001,69.080002,68.713905,21176300
2017-07-06,68.269997,68.779999,68.120003,68.570000,68.206604,21117600
2017-07-07,68.699997,69.839996,68.699997,69.459999,69.091888,16878300
2017-07-10,69.459999,70.250000,69.199997,69.980003,69.609138,15014500
2017-07-11,70.000000,70.680000,69.750000,69.989998,69.619080,17460000
2017-07-12,70.690002,71.279999,70.550003,71.150002,70.772934,17750900
2017-07-13,71.500000,72.040001,71.309998,71.769997,71.389641,20269800
2017-07-14,72.239998,73.269997,71.959999,72.779999,72.394295,25868100
2017-07-17,72.800003,73.449997,72.720001,73.349998,72.961273,21803900
2017-07-18,73.089996,73.389999,72.660004,73.300003,72.911537,26435300
2017-07-19,73.500000,74.040001,73.449997,73.860001,73.468567,22416200
2017-07-20,74.180000,74.300003,73.279999,74.220001,73.826660,42361000
2017-07-21,73.449997,74.290001,73.169998,73.790001,73.398941,46717100
2017-07-24,73.529999,73.750000,73.129997,73.599998,73.209946,21394800
2017-07-25,73.800003,74.309998,73.500000,74.190002,73.796822,22018700
2017-07-26,74.339996,74.379997,73.809998,74.050003,73.657562,16252200
2017-07-27,73.760002,74.419998,72.320000,73.160004,72.772285,36844200
2017-07-28,72.669998,73.309998,72.540001,73.040001,72.652916,18306700
2017-07-31,73.300003,73.440002,72.410004,72.699997,72.314713,23600100
2017-08-01,73.099998,73.419998,72.489998,72.580002,72.195358,22132300
2017-08-02,72.550003,72.559998,71.440002,72.260002,71.877052,26499200
2017-08-03,72.190002,72.440002,71.849998,72.150002,71.767632,18214400
2017-08-04,72.400002,73.040001,72.239998,72.680000,72.294823,22579000
2017-08-07,72.800003,72.900002,72.260002,72.400002,72.016312,18705700
2017-08-08,72.089996,73.129997,71.750000,72.790001,72.404243,22044600
2017-08-09,72.250000,72.510002,72.050003,72.470001,72.085938,22213400
2017-08-10,71.900002,72.190002,71.349998,71.410004,71.031555,24734500
2017-08-11,71.610001,72.699997,71.279999,72.500000,72.115776,21443700
2017-08-14,73.059998,73.720001,72.949997,73.589996,73.199997,20067300
2017-08-15,73.589996,73.589996,73.040001,73.220001,73.220001,19181400
2017-08-16,73.339996,74.099998,73.169998,73.650002,73.650002,18150400
2017-08-17,73.580002,73.870003,72.400002,72.400002,72.400002,22977500
2017-08-18,72.269997,72.839996,71.930000,72.489998,72.489998,18730200
